"","months_as_customer","age","policy_number","policy_bind_date","insured_zip","insured_sex","insured_education_level","insured_occupation","insured_relationship","incident_date","incident_type","collision_type","incident_severity","incident_state","incident_city","incident_hour_of_the_day","number_of_vehicles_involved","total_claim_amount","auto_make","auto_model","auto_year","fraud_reported"
"70",338,49,348209,1994-02-22,449718,"MALE","MD","other-service","own-child",2015-02-27,"Parked Car","No collision","Minor Damage","NC","Riverwood",13,"1",30,"Ford","F150",2004,0
"71",271,42,486676,2011-08-15,463181,"FEMALE","Associate","prof-specialty","own-child",2015-02-20,"Multi-vehicle Collision","Side Collision","Major Damage","SC","Hillsdale",12,"2",520,"Audi","A3",2003,1
"72",222,41,260845,1998-11-11,441992,"FEMALE","MD","armed-forces","not-in-family",2015-02-08,"Single Vehicle Collision","Front Collision","Total Loss","WV","Northbrook",7,"1",420,"Honda","Civic",1995,1
"73",199,41,657045,1995-12-04,452597,"FEMALE","Associate","sales","husband",2015-02-11,"Single Vehicle Collision","Rear Collision","Minor Damage","NC","Arlington",10,"1",128,"Chevrolet","Malibu",1999,0
"74",215,37,761189,2002-12-28,614417,"FEMALE","College","transport-moving","not-in-family",2015-02-23,"Multi-vehicle Collision","Rear Collision","Minor Damage","SC","Riverwood",7,"3",360,"Mercedes","C300",2002,0
"75",192,40,175177,2004-04-15,472895,"FEMALE","Associate","sales","wife",2015-03-01,"Multi-vehicle Collision","Side Collision","Minor Damage","VA","Springfield",18,"3",194,"BMW","X6",2005,0
"76",120,35,116700,2001-02-02,475847,"FEMALE","High School","transport-moving","other-relative",2015-01-15,"Multi-vehicle Collision","Front Collision","Total Loss","SC","Riverwood",22,"3",271,"Ford","Fusion",2010,0
"77",270,45,166264,2010-01-12,476978,"FEMALE","College","handlers-cleaners","husband",2015-01-14,"Multi-vehicle Collision","Front Collision","Minor Damage","NY","Springfield",18,"3",717,"Suburu","Legacy",1998,0
"78",319,47,527945,1992-04-14,600648,"MALE","College","transport-moving","not-in-family",2015-02-17,"Multi-vehicle Collision","Front Collision","Total Loss","WV","Northbrook",22,"3",397,"Audi","A3",2005,0
"79",194,39,627540,2010-05-21,608335,"FEMALE","JD","other-service","wife",2015-01-24,"Vehicle Theft","No collision","Minor Damage","SC","Springfield",15,"1",106,"Saab","95",2004,0
"80",227,38,279422,2013-10-27,471600,"FEMALE","PhD","handlers-cleaners","unmarried",2015-01-21,"Single Vehicle Collision","Rear Collision","Major Damage","SC","Northbrook",16,"1",572,"BMW","M5",2013,1
"81",137,31,484200,1994-10-12,441175,"MALE","High School","exec-managerial","husband",2015-02-19,"Multi-vehicle Collision","Side Collision","Minor Damage","NC","Arlington",6,"3",265,"Accura","MDX",2005,0
"82",244,40,645258,1997-07-04,603123,"FEMALE","Masters","exec-managerial","wife",2015-01-03,"Vehicle Theft","No collision","Trivial Damage","NC","Northbrook",10,"1",84,"Accura","TL",2005,0
"83",78,29,694662,2011-02-15,457767,"MALE","Masters","other-service","other-relative",2015-01-29,"Vehicle Theft","No collision","Minor Damage","NY","Northbrook",3,"1",100,"Nissan","Maxima",2002,0
"84",200,35,960680,1994-08-21,618498,"MALE","High School","exec-managerial","wife",2015-01-19,"Vehicle Theft","No collision","Trivial Damage","VA","Hillsdale",13,"1",81,"Volkswagen","Jetta",2002,0
"85",284,48,498140,1997-05-15,605486,"MALE","Masters","prof-specialty","not-in-family",2015-01-19,"Multi-vehicle Collision","Side Collision","Major Damage","NY","Hillsdale",16,"2",416,"Audi","A3",2013,1
"86",275,41,498875,1996-10-26,617970,"MALE","High School","transport-moving","own-child",2015-02-02,"Multi-vehicle Collision","Front Collision","Major Damage","NY","Northbrook",13,"3",377,"Suburu","Legacy",2007,0
"87",153,34,798177,2006-03-04,432934,"FEMALE","Associate","priv-house-serv","husband",2015-01-30,"Multi-vehicle Collision","Front Collision","Minor Damage","SC","Columbus",9,"3",521,"Ford","F150",2007,0
"88",134,32,614763,1991-01-02,456762,"FEMALE","MD","other-service","own-child",2015-01-08,"Single Vehicle Collision","Side Collision","Total Loss","VA","Springfield",2,"1",466,"BMW","3 Series",2015,0
"89",31,36,679370,1999-08-15,601748,"FEMALE","College","prof-specialty","not-in-family",2015-01-30,"Parked Car","No collision","Trivial Damage","WV","Arlington",9,"1",38,"Dodge","Neon",2002,0
"90",41,25,958857,1992-01-15,607763,"FEMALE","College","exec-managerial","not-in-family",2015-01-07,"Multi-vehicle Collision","Side Collision","Major Damage","SC","Columbus",12,"3",214,"Accura","MDX",2011,1
"91",127,29,686816,1999-12-07,436973,"FEMALE","High School","sales","own-child",2015-02-24,"Multi-vehicle Collision","Front Collision","Total Loss","SC","Arlington",12,"2",502,"Saab","93",1995,0
"92",61,23,127754,1993-06-06,471300,"FEMALE","Associate","tech-support","own-child",2015-02-02,"Single Vehicle Collision","Side Collision","Major Damage","NY","Columbus",14,"1",747,"Honda","Accord",2004,1
"93",207,42,918629,2000-10-03,453277,"MALE","PhD","farming-fishing","own-child",2015-02-28,"Parked Car","No collision","Trivial Damage","WV","Springfield",9,"1",67,"BMW","X5",2007,0
"94",219,43,731450,2010-12-29,465100,"FEMALE","MD","exec-managerial","not-in-family",2015-02-09,"Multi-vehicle Collision","Front Collision","Major Damage","NC","Riverwood",3,"3",551,"Ford","Fusion",2009,0
"95",271,42,307447,1990-03-17,603248,"FEMALE","High School","machine-op-inspct","not-in-family",2015-01-19,"Multi-vehicle Collision","Rear Collision","Total Loss","SC","Northbend",21,"3",735,"Mercedes","ML350",2005,0
"96",80,25,992145,2012-03-01,601112,"FEMALE","PhD","armed-forces","husband",2015-02-21,"Vehicle Theft","No collision","Minor Damage","OH","Northbrook",5,"1",88,"Toyota","Highlander",2001,0
"97",325,47,900628,2006-02-05,438830,"FEMALE","Associate","protective-serv","not-in-family",2015-01-14,"Single Vehicle Collision","Side Collision","Major Damage","VA","Springfield",11,"1",578,"Dodge","RAM",2006,1
"98",29,25,235220,2014-11-01,464959,"MALE","Masters","farming-fishing","own-child",2015-01-22,"Multi-vehicle Collision","Rear Collision","Minor Damage","SC","Hillsdale",4,"4",476,"Nissan","Pathfinder",2013,1
"99",295,48,740019,2009-06-17,439787,"FEMALE","College","machine-op-inspct","wife",2015-02-22,"Parked Car","No collision","Trivial Damage","WV","Columbus",6,"1",54,"Saab","95",1999,0
"100",239,42,246882,1999-09-20,464839,"MALE","College","exec-managerial","not-in-family",2015-01-26,"Vehicle Theft","No collision","Trivial Damage","NC","Northbrook",10,"1",59,"Audi","A3",2007,0
"101",269,41,797613,1990-10-19,448984,"FEMALE","College","protective-serv","not-in-family",2015-01-24,"Single Vehicle Collision","Rear Collision","Minor Damage","SC","Northbend",23,"1",649,"Saab","92x",2007,0
"102",80,27,193442,1996-08-05,440327,"FEMALE","College","tech-support","unmarried",2015-02-19,"Single Vehicle Collision","Side Collision","Major Damage","WV","Northbend",13,"1",298,"Saab","95",2004,0
"103",279,41,389238,2001-06-06,460742,"FEMALE","JD","prof-specialty","husband",2015-01-29,"Multi-vehicle Collision","Front Collision","Minor Damage","NC","Northbrook",16,"3",125,"Ford","Fusion",2013,0
"104",165,33,760179,2007-03-25,446895,"FEMALE","Associate","tech-support","other-relative",2015-02-15,"Parked Car","No collision","Minor Damage","WV","Northbend",3,"1",11,"Toyota","Highlander",2008,0
"105",350,54,939905,2013-10-31,609374,"MALE","College","other-service","wife",2015-02-12,"Multi-vehicle Collision","Side Collision","Total Loss","SC","Northbend",15,"3",734,"Chevrolet","Malibu",2014,0
"106",295,49,872814,1992-06-13,451672,"MALE","College","prof-specialty","husband",2015-01-01,"Vehicle Theft","No collision","Minor Damage","WV","Columbus",4,"1",31,"Mercedes","E400",2002,0
"107",464,61,632627,1990-10-07,604450,"FEMALE","Associate","prof-specialty","husband",2015-01-13,"Multi-vehicle Collision","Rear Collision","Major Damage","VA","Northbend",6,"3",657,"Saab","95",2000,1
"108",118,28,283414,1991-12-28,432896,"FEMALE","High School","handlers-cleaners","own-child",2015-03-01,"Multi-vehicle Collision","Front Collision","Major Damage","WV","Columbus",22,"2",591,"Volkswagen","Passat",1997,0
"109",298,47,163161,1998-11-11,618929,"FEMALE","PhD","machine-op-inspct","other-relative",2015-02-02,"Single Vehicle Collision","Front Collision","Major Damage","NY","Northbrook",1,"1",549,"Saab","93",2000,1
"110",87,31,853360,2009-06-26,451312,"FEMALE","Masters","sales","husband",2015-01-27,"Multi-vehicle Collision","Rear Collision","Major Damage","NY","Springfield",16,"3",416,"Nissan","Ultima",2006,1
"111",261,42,776860,2009-01-11,605141,"FEMALE","College","prof-specialty","unmarried",2015-01-12,"Single Vehicle Collision","Rear Collision","Minor Damage","SC","Riverwood",18,"1",596,"Dodge","RAM",2010,0
"112",453,60,149367,2003-03-18,459504,"MALE","PhD","craft-repair","unmarried",2015-01-06,"Single Vehicle Collision","Front Collision","Major Damage","NC","Springfield",0,"1",543,"Ford","F150",2015,1
"113",210,41,395269,2012-11-02,432781,"MALE","High School","exec-managerial","other-relative",2015-01-30,"Multi-vehicle Collision","Rear Collision","Total Loss","WV","Columbus",12,"3",667,"BMW","X5",2001,0
"114",168,32,981123,2000-05-04,452748,"MALE","MD","protective-serv","own-child",2015-03-01,"Multi-vehicle Collision","Side Collision","Major Damage","VA","Hillsdale",13,"2",370,"Saab","93",2007,0
"115",390,51,143626,1999-09-29,618316,"MALE","Associate","armed-forces","other-relative",2015-02-24,"Vehicle Theft","No collision","Minor Damage","VA","Northbrook",9,"1",90,"Ford","F150",2001,0
"116",258,46,648397,1999-03-09,455365,"MALE","MD","machine-op-inspct","other-relative",2015-01-24,"Multi-vehicle Collision","Side Collision","Total Loss","NY","Riverwood",14,"3",232,"Accura","MDX",1997,1
"117",107,31,154982,1991-02-13,470603,"FEMALE","PhD","machine-op-inspct","other-relative",2015-02-26,"Single Vehicle Collision","Rear Collision","Minor Damage","SC","Hillsdale",16,"1",272,"Suburu","Legacy",2002,0
"118",225,41,330591,1993-08-05,475292,"MALE","High School","exec-managerial","unmarried",2015-01-19,"Multi-vehicle Collision","Side Collision","Major Damage","NY","Northbend",20,"3",546,"Toyota","Highlander",2011,1
"119",164,38,319232,1997-10-31,467743,"FEMALE","PhD","transport-moving","not-in-family",2015-01-17,"Single Vehicle Collision","Rear Collision","Minor Damage","NY","Hillsdale",4,"1",721,"Ford","Fusion",2015,0
"120",245,39,531640,2001-04-21,460675,"FEMALE","Associate","adm-clerical","husband",2015-02-20,"Multi-vehicle Collision","Rear Collision","Minor Damage","NY","Arlington",7,"3",575,"BMW","3 Series",2010,0
"121",255,41,368050,2013-01-08,618123,"MALE","High School","priv-house-serv","other-relative",2015-02-22,"Single Vehicle Collision","Side Collision","Minor Damage","SC","Hillsdale",22,"1",532,"Volkswagen","Passat",2000,0
"122",206,36,253791,2009-07-23,607452,"FEMALE","MD","other-service","other-relative",2015-01-23,"Single Vehicle Collision","Front Collision","Major Damage","NY","Northbrook",11,"1",614,"Ford","Fusion",2008,1
"123",203,38,155724,1998-02-20,606352,"FEMALE","Masters","other-service","not-in-family",2015-01-31,"Single Vehicle Collision","Front Collision","Major Damage","VA","Columbus",7,"1",338,"Nissan","Maxima",1999,1
"124",22,25,824540,2008-03-13,603527,"FEMALE","College","prof-specialty","other-relative",2015-01-05,"Multi-vehicle Collision","Front Collision","Total Loss","NC","Arlington",0,"4",624,"Accura","MDX",1995,0
"125",211,35,717392,1996-08-20,445601,"FEMALE","JD","prof-specialty","not-in-family",2015-02-03,"Single Vehicle Collision","Rear Collision","Total Loss","WV","Northbend",1,"1",186,"BMW","X5",2011,0
"126",206,39,965768,2014-07-27,603948,"MALE","JD","craft-repair","unmarried",2015-02-17,"Multi-vehicle Collision","Rear Collision","Total Loss","NY","Hillsdale",12,"3",151,"Ford","Escape",2013,0
"127",166,38,414779,1992-11-09,435758,"MALE","MD","protective-serv","unmarried",2015-01-09,"Single Vehicle Collision","Side Collision","Total Loss","WV","Columbus",8,"1",173,"Suburu","Impreza",2001,0
"128",165,32,428230,2012-06-04,611586,"FEMALE","High School","tech-support","own-child",2015-02-08,"Parked Car","No collision","Minor Damage","PA","Northbrook",9,"1",26,"BMW","M5",1998,0
"129",274,43,517240,2001-05-13,465263,"MALE","College","farming-fishing","wife",2015-02-06,"Single Vehicle Collision","Front Collision","Major Damage","NY","Northbend",22,"1",459,"BMW","X5",2006,1
"130",81,28,469874,2011-09-17,617858,"FEMALE","Masters","sales","husband",2015-01-14,"Multi-vehicle Collision","Front Collision","Major Damage","SC","Northbend",0,"3",209,"Saab","92x",2000,1
"131",280,45,718428,2011-07-15,607889,"MALE","JD","machine-op-inspct","wife",2015-01-22,"Multi-vehicle Collision","Front Collision","Minor Damage","NY","Arlington",0,"3",691,"Ford","Escape",1999,0
"132",194,39,620215,2005-07-27,455689,"MALE","Masters","adm-clerical","own-child",2015-02-23,"Multi-vehicle Collision","Front Collision","Major Damage","WV","Columbus",3,"3",426,"Dodge","RAM",2012,0
"133",112,27,618659,2005-10-18,450341,"FEMALE","Masters","tech-support","unmarried",2015-02-22,"Multi-vehicle Collision","Front Collision","Major Damage","NC","Arlington",21,"3",266,"Nissan","Pathfinder",2013,0
"134",24,33,649082,1996-01-19,431277,"FEMALE","High School","machine-op-inspct","wife",2015-01-24,"Single Vehicle Collision","Side Collision","Total Loss","WV","Northbend",0,"1",223,"Jeep","Wrangler",2002,0
"135",93,32,437573,2005-09-29,454656,"MALE","PhD","exec-managerial","unmarried",2015-02-09,"Single Vehicle Collision","Side Collision","Minor Damage","WV","Northbend",16,"1",636,"BMW","3 Series",2006,0
